iter	RMSE
0	398.7757789
1	398.6573493
2	398.5384427
3	398.4112503
4	398.2711022
5	398.153549
6	398.0216621
7	397.8974925
8	397.7737486
9	397.6367678
10	397.5039243
11	397.3781454
12	397.2381921
13	397.107293
14	396.9741298
15	396.8270053
16	396.7065547
17	396.5696489
18	396.4439713
19	396.3226172
20	396.1837897
21	396.0574206
22	395.9277431
23	395.8016693
24	395.6729523
25	395.537698
26	395.4166401
27	395.2751074
28	395.1503837
29	395.0201756
30	394.8867748
31	394.7600874
32	394.6289398
33	394.4945356
34	394.355967
35	394.2279666
36	394.1081703
37	393.9946133
38	393.8593719
39	393.7280004
40	393.5952877
41	393.4860782
42	393.3535438
43	393.2124289
44	393.0853162
45	392.9613252
46	392.820668
47	392.7097576
48	392.5855339
49	392.4515683
50	392.3108959
51	392.1850878
52	392.0619322
53	391.9218992
54	391.8033539
55	391.6705994
56	391.5452533
57	391.421281
58	391.2782811
59	391.1465822
60	391.0190223
61	390.8909602
62	390.7616319
63	390.6428444
64	390.5228553
65	390.4000816
66	390.2966964
67	390.1881248
68	390.0578404
69	389.9245184
70	389.7829948
71	389.6524289
72	389.5226907
73	389.4025594
74	389.2770706
75	389.1742808
76	389.0539929
77	388.9120602
78	388.7738492
79	388.6430546
80	388.5168824
81	388.3838345
82	388.2739178
83	388.161615
84	388.0466651
85	387.921553
86	387.8002761
87	387.6811042
88	387.5473498
89	387.4203864
90	387.2934784
91	387.1634637
92	387.0451561
93	386.917924
94	386.7789945
95	386.6463755
96	386.5149424
97	386.3978451
98	386.2730975
99	386.1455594
100	386.0364427
101	385.9041417
102	385.7770313
103	385.6488417
104	385.5244037
105	385.402741
106	385.2865331
107	385.1658246
108	385.0556729
109	384.9205521
110	384.7956273
111	384.6837986
112	384.5587313
113	384.4257513
114	384.3033574
115	384.1780055
116	384.0428125
117	383.9180923
118	383.7805032
119	383.6652885
120	383.5426225
121	383.4179827
122	383.3024747
123	383.1792538
124	383.0564557
125	382.9249862
126	382.8199747
127	382.69439
128	382.5818126
129	382.4536249
130	382.3330572
131	382.1996587
132	382.0734372
133	381.9573535
134	381.846077
135	381.7222664
136	381.5885031
137	381.4622751
138	381.3402891
139	381.2185703
140	381.0991729
141	380.9754324
142	380.8563648
143	380.7370375
144	380.6173775
145	380.5031917
146	380.3841856
147	380.2641743
148	380.1340117
149	380.0252403
150	379.9160665
151	379.7958645
152	379.6691706
153	379.5583173
154	379.4474964
155	379.3207423
156	379.1915305
157	379.0716817
158	378.9490182
159	378.8192829
160	378.6975206
161	378.5782678
162	378.448571
163	378.3178435
164	378.1930392
165	378.0667999
166	377.9570589
167	377.8334111
168	377.7248728
169	377.6097272
170	377.4995251
171	377.3639115
172	377.2499374
173	377.1278359
174	377.0111647
175	376.8800306
176	376.7627418
177	376.6332824
178	376.5046228
179	376.3804399
180	376.2623595
181	376.1490798
182	376.0375944
183	375.9347026
184	375.8149862
185	375.6849943
186	375.559919
187	375.4503498
188	375.3269998
189	375.20865
190	375.0898993
