iter	Passed	Remaining
0	234	234719
1	258	128979
2	286	95096
3	318	79278
4	344	68650
5	373	61913
6	398	56480
7	425	52713
8	451	49698
9	478	8	4919095	546566
1
11	544	44863
12	571	43364
13	598	42164
14	628	41278
15	654	40268
16	680	39369
17	710	38743
18	744	38449
19	793	38863
20	831	38777
21	863	38379
22	895	38046
23	941	38294
24	971	37890
25	1004	37616
26	1040	37505
27	1052	36533
28	1081	36197
29	1118	36155
30	1155	36131
31	1186	35885
32	1215	35616
33	1244	35345
34	1272	35080
35	1301	34857
36	1327	34550
37	1354	34289
38	1381	34046
39	1407	33776
40	1436	33603
41	1459	33296
42	1494	33265
43	1523	33101
44	1551	32920
45	1578	32731
46	1605	32548
47	1647	32681
48	1669	32399
49	1699	32295
50	1735	32301
51	1758	32053
52	1785	31906
53	1813	31777
54	1844	31687
55	1882	31726
56	1914	31668
57	1947	31630
58	1970	31420
59	2005	31417
60	2041	31426
61	2062	31197
62	2089	31081
63	2159	31579
64	2190	31506
65	2219	31411
66	2258	31445
67	2290	31396
68	2325	31380
69	2354	31281
70	2384	31197
71	2414	31118
72	2445	31057
73	2482	31068
74	2510	30961
75	2537	30850
76	2567	30778
77	2601	30745
78	2642	30809
79	2677	30786
80	2706	30707
81	2733	30604
82	2750	30385
83	2777	30282
84	2810	30255
85	2840	30187
86	2866	30084
87	2902	30085
88	2932	30017
89	2960	29936
90	2999	29959
91	3022	29831
92	3050	29753
93	3080	29686
94	3122	29743
95	3150	29664
96	3173	29545
97	3202	29472
98	3230	29396
99	3258	29329
100	3292	29304
101	3326	29285
102	3360	29265
103	3390	29209
104	3417	29133
105	3444	29048
106	3471	28973
107	3500	28912
108	3532	28877
109	3566	28853
110	3605	28877
111	3677	29155
112	3751	29449
113	3809	29608
114	3844	29584
115	3896	29695
116	3955	29854
117	4015	30014
118	4042	29928
119	4069	29840
120	4142	30093
121	4218	30356
122	4252	30317
123	4314	30479
124	4349	30443
125	4386	30427
126	4401	30257
127	4428	30167
128	4454	30079
129	4481	29992
130	4507	29898
131	4520	29722
132	4548	29652
133	4579	29599
134	4608	29526
135	4632	29431
136	4658	29345
137	4677	29217
138	4710	29174
139	4735	29090
140	4823	29386
141	4927	29774
142	5004	29991
143	5075	30169
144	5122	30202
145	5181	30308
146	5294	30724
147	5399	31086
148	5419	30953
149	5464	30965
150	5545	31181
151	5642	31481
152	5719	31662
153	5806	31898
154	5875	32029
155	5944	32159
156	5988	32153
157	6015	32059
158	6060	32058
159	6099	32022
160	6138	31987
161	6177	31954
162	6188	31777
163	6227	31746
164	6264	31700
165	6302	31662
166	6338	31615
167	6355	31473
168	6420	31571
169	6508	31775
170	6562	31816
171	6626	31901
172	6688	31975
173	6735	31971
174	6774	31937
175	6828	31968
176	6862	31908
177	6895	31843
178	6930	31788
179	6963	31722
180	7003	31687
181	7036	31626
182	7079	31606
183	7113	31545
184	7130	31410
185	7169	31376
186	7203	31319
187	7246	31298
188	7283	31254
189	7322	31215
190	7359	31173
191	7395	31121
192	7429	31066
193	7474	31052
194	7514	31023
195	7555	30992
196	7648	31176
197	7735	31331
198	7806	31422
199	7873	31492
200	7908	31437
201	7943	31380
202	7973	31306
203	8004	31233
204	8019	31100
205	8048	31021
206	8090	30995
207	8130	30957
208	8160	30886
209	8193	30821
210	8231	30780
211	8266	30727
212	8298	30660
213	8327	30586
214	8355	30508
215	8382	30426
216	8412	30353
217	8450	30313
218	8467	30198
219	8502	30145
220	8555	30158
221	8589	30103
222	8621	30040
223	8649	29963
224	8678	29891
225	8706	29816
226	8734	29744
227	8776	29718
228	8806	29650
229	8826	29547
230	8886	29582
231	8895	29448
232	8914	29346
233	8938	29259
234	8980	29234
235	9012	29176
236	9043	29114
237	9072	29048
238	9113	29017
239	9141	28948
240	9170	28882
241	9212	28854
242	9240	28787
243	9256	28680
244	9279	28597
245	9308	28529
246	9337	28465
247	9368	28409
248	9413	28390
249	9442	28326
250	9470	28260
251	9508	28222
252	9544	28180
253	9579	28135
254	9628	28129
255	9657	28066
256	9686	28005
257	9713	27936
258	9771	27955
259	9797	27886
260	9832	27839
261	9864	27786
262	9898	27739
263	9927	27677
264	9957	27617
265	9983	27548
266	10011	27483
267	10040	27424
268	10059	27335
269	10088	27275
270	10138	27273
271	10168	27216
272	10207	27183
273	10237	27125
274	10265	27064
275	10294	27005
276	10308	26907
277	10348	26875
278	10375	26812
279	10409	26766
280	10437	26706
281	10465	26645
282	10500	26603
283	10528	26542
284	10556	26483
285	10590	26439
286	10624	26395
287	10658	26350
288	10689	26298
289	10720	26246
290	10749	26190
291	10768	26110
292	10796	26052
293	10817	25977
294	10842	25912
295	10868	25849
296	10902	25806
297	10932	25754
298	10962	25700
299	10995	25657
300	11024	25600
301	11050	25541
302	11080	25487
303	11108	25433
304	11150	25409
305	11191	25381
306	11221	25329
307	11245	25265
308	11276	25217
309	11315	25185
310	11360	25168
311	11386	25108
312	11413	25052
313	11439	24992
314	11465	24933
315	11494	24880
316	11522	24826
317	11553	24777
318	11581	24723
319	11615	24682
320	11653	24650
321	11680	24593
322	11708	24539
323	11734	24482
324	11759	24423
325	11788	24373
326	11817	24320
327	11846	24270
328	11874	24217
329	11900	24161
330	11927	24106
331	11953	24050
332	11979	23994
333	12006	23940
334	12033	23886
335	12059	23832
336	12085	23776
337	12111	23720
338	12137	23666
339	12167	23620
340	12213	23602
341	12243	23556
342	12272	23507
343	12300	23455
344	12325	23401
345	12353	23349
346	12379	23296
347	12405	23243
348	12436	23197
349	12461	23143
350	12479	23074
351	12508	23026
352	12535	22975
353	12561	22922
354	12584	22865
355	12615	22820
356	12653	22790
357	12690	22758
358	12753	22772
359	12817	22786
360	12856	22756
361	12891	22720
362	12927	22684
363	12961	22647
364	13000	22617
365	13037	22584
366	13067	22539
367	13102	22502
368	13131	22456
369	13172	22428
370	13203	22384
371	13257	22380
372	13300	22357
373	13330	22313
374	13365	22275
375	13393	22227
376	13421	22180
377	13452	22136
378	13483	22092
379	13512	22046
380	13544	22005
381	13583	21975
382	13621	21943
383	13648	21894
384	13684	21859
385	13722	21827
386	13755	21788
387	13785	21744
